GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US24005440702,24005440702,"Census Tract 4407.02, Baltimore County, Maryland",38.9,3.5,37.1,3.6,41.4,5.2
1400000US24005440800,24005440800,"Census Tract 4408, Baltimore County, Maryland",34.6,2.6,34.7,4.3,34.5,4.1
1400000US24005440900,24005440900,"Census Tract 4409, Baltimore County, Maryland",34.0,3.0,33.1,4.6,34.5,3.4
1400000US24005441000,24005441000,"Census Tract 4410, Baltimore County, Maryland",34.2,2.4,34.3,4.4,34.2,4.7
1400000US24005441101,24005441101,"Census Tract 4411.01, Baltimore County, Maryland",47.2,2.9,46.4,7.8,47.5,3.2
1400000US24005441102,24005441102,"Census Tract 4411.02, Baltimore County, Maryland",43.8,4.4,42.8,5.3,45.3,7.1
1400000US24005450100,24005450100,"Census Tract 4501, Baltimore County, Maryland",48.6,1.9,45.5,2.3,50.2,1.7
1400000US24005450200,24005450200,"Census Tract 4502, Baltimore County, Maryland",42.7,5.7,39.5,4.8,49.3,3.7
1400000US24005450300,24005450300,"Census Tract 4503, Baltimore County, Maryland",47.6,9.3,44.7,11.8,49.1,9.1
1400000US24005450400,24005450400,"Census Tract 4504, Baltimore County, Maryland",40.4,2.4,38.7,6.3,41.8,5.7
1400000US24005450501,24005450501,"Census Tract 4505.01, Baltimore County, Maryland",42.8,4.3,45.5,4.1,40.9,5.8
1400000US24005450503,24005450503,"Census Tract 4505.03, Baltimore County, Maryland",27.4,2.2,28.9,5.5,27.0,1.4
1400000US24005450504,24005450504,"Census Tract 4505.04, Baltimore County, Maryland",33.2,4.2,31.8,5.3,33.9,5.3
1400000US24005450800,24005450800,"Census Tract 4508, Baltimore County, Maryland",35.6,7.3,32.1,5.9,44.8,3.4
1400000US24005450900,24005450900,"Census Tract 4509, Baltimore County, Maryland",47.7,2.3,50.2,2.8,46.4,2.8
1400000US24005451000,24005451000,"Census Tract 4510, Baltimore County, Maryland",52.3,2.4,50.8,1.8,55.0,2.9
1400000US24005451100,24005451100,"Census Tract 4511, Baltimore County, Maryland",37.4,5.0,36.7,10.2,38.2,4.9
1400000US24005451200,24005451200,"Census Tract 4512, Baltimore County, Maryland",45.3,3.6,44.6,4.9,46.6,5.6
1400000US24005451300,24005451300,"Census Tract 4513, Baltimore County, Maryland",44.7,3.1,40.4,7.1,45.6,4.0
1400000US24005451401,24005451401,"Census Tract 4514.01, Baltimore County, Maryland",29.8,1.4,25.4,7.5,30.8,2.8
1400000US24005451402,24005451402,"Census Tract 4514.02, Baltimore County, Maryland",27.6,3.8,25.8,5.1,28.2,2.4
1400000US24005451500,24005451500,"Census Tract 4515, Baltimore County, Maryland",32.6,5.3,27.8,6.8,35.6,3.9
1400000US24005451600,24005451600,"Census Tract 4516, Baltimore County, Maryland",46.9,3.7,45.4,3.8,48.8,4.7
1400000US24005451701,24005451701,"Census Tract 4517.01, Baltimore County, Maryland",47.6,2.2,47.2,5.8,47.7,2.9
1400000US24005451702,24005451702,"Census Tract 4517.02, Baltimore County, Maryland",48.8,1.3,48.7,2.3,48.8,1.4
1400000US24005451801,24005451801,"Census Tract 4518.01, Baltimore County, Maryland",41.4,3.3,41.5,5.8,41.3,4.4
1400000US24005451802,24005451802,"Census Tract 4518.02, Baltimore County, Maryland",52.4,3.4,51.5,5.8,53.1,3.5
1400000US24005451803,24005451803,"Census Tract 4518.03, Baltimore County, Maryland",36.6,3.7,34.3,3.4,40.4,5.3
1400000US24005451900,24005451900,"Census Tract 4519, Baltimore County, Maryland",45.8,3.4,46.6,4.1,45.1,5.8
1400000US24005452000,24005452000,"Census Tract 4520, Baltimore County, Maryland",50.8,2.6,44.7,4.5,51.8,3.2
1400000US24005452100,24005452100,"Census Tract 4521, Baltimore County, Maryland",45.5,3.5,47.5,3.3,43.8,2.9
1400000US24005452300,24005452300,"Census Tract 4523, Baltimore County, Maryland",37.8,4.8,31.0,4.3,45.0,8.5
1400000US24005452400,24005452400,"Census Tract 4524, Baltimore County, Maryland",47.4,1.8,46.4,2.4,48.3,3.2
1400000US24005452500,24005452500,"Census Tract 4525, Baltimore County, Maryland",41.7,3.1,43.0,3.0,40.7,4.8
1400000US24005490100,24005490100,"Census Tract 4901, Baltimore County, Maryland",49.5,1.8,49.3,2.1,49.6,2.4
1400000US24005490200,24005490200,"Census Tract 4902, Baltimore County, Maryland",43.6,1.3,36.3,6.2,48.6,2.9
1400000US24005490301,24005490301,"Census Tract 4903.01, Baltimore County, Maryland",33.4,1.9,34.3,2.2,31.6,3.7
1400000US24005490302,24005490302,"Census Tract 4903.02, Baltimore County, Maryland",22.7,7.6,23.5,7.8,22.4,8.6
